"control","level","title","subscription","resource","status","details"
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Production","ststagapp01","FAIL","Account 'ststagapp01': Non-compliant. Setting needs to be enabled."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Production","stdevdata01","INFO","Account 'stdevdata01': ADLS Gen2 — control does not apply."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Production","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Staging","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Staging","ststagapp01","ERROR","Account 'ststagapp01': Access denied or query error."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Development","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Development","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Development","stdevbackup01","ERROR","Account 'stdevbackup01': Access denied or query error."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Production","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Production","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Staging","stprodlogs02","INFO","Account 'stprodlogs02': ADLS Gen2 — control does not apply."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Staging","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Development","stproddata01","INFO","Account 'stproddata01': ADLS Gen2 — control does not apply."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Development","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.2.3","2","Ensure That Blob Versioning Is Enabled for Storage Accounts","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Production","ststagapp01","FAIL","Account 'ststagapp01': Non-compliant. Setting needs to be enabled."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Staging","stdevdata01","MANUAL","Account 'stdevdata01': Not applicable."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Staging","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Development","stprodlogs02","MANUAL","Account 'stprodlogs02': Not applicable."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.2.4","2","Ensure Storage Logging Is Enabled for Blob Service for 'Read' Requests","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Production","ststagapp01","ERROR","Account 'ststagapp01': Access denied or query error."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Production","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Production","stdevbackup01","ERROR","Account 'stdevbackup01': Access denied or query error."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Staging","stproddata01","INFO","Account 'stproddata01': ADLS Gen2 — control does not apply."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Staging","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Development","stproddata01","ERROR","Account 'stproddata01': Access denied or query error."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Development","ststagapp01","FAIL","Account 'ststagapp01': Non-compliant. Setting needs to be enabled."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.2.5","2","Ensure Storage Logging Is Enabled for Blob Service for 'Write' Requests","Development","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Production","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Production","stprodlogs02","ERROR","Account 'stprodlogs02': Access denied or query error."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Production","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Staging","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Development","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.2.6","2","Ensure Storage Logging Is Enabled for Blob Service for 'Delete' Requests","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Staging","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Staging","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Development","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Development","stprodlogs02","INFO","Account 'stprodlogs02': ADLS Gen2 — control does not apply."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.1.1","1","Ensure that 'Enable key rotation reminders' is enabled for each Storage Account","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Production","stdevbackup01","ERROR","Account 'stdevbackup01': Access denied or query error."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Staging","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Staging","stdevbackup01","ERROR","Account 'stdevbackup01': Access denied or query error."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Development","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.1.2","1","Ensure that Storage Account access keys are periodically regenerated","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Production","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Production","stprodlogs02","INFO","Account 'stprodlogs02': ADLS Gen2 — control does not apply."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Production","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Staging","stdevdata01","MANUAL","Account 'stdevdata01': Not applicable."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.1.3","2","Ensure That 'Shared Key Access' Is Disabled for Storage Accounts","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Production","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Staging","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Development","stprodlogs02","ERROR","Account 'stprodlogs02': Access denied or query error."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.2.1","2","Ensure That 'Private Endpoints' Are Used for Storage Accounts","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Production","stproddata01","ERROR","Account 'stproddata01': Access denied or query error."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Production","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Staging","stproddata01","ERROR","Account 'stproddata01': Access denied or query error."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Staging","stprodlogs02","ERROR","Account 'stprodlogs02': Access denied or query error."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Staging","stdevbackup01","ERROR","Account 'stdevbackup01': Access denied or query error."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Development","stproddata01","ERROR","Account 'stproddata01': Access denied or query error."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Development","stdevdata01","MANUAL","Account 'stdevdata01': Not applicable."
"9.3.2.2","1","Ensure That Storage Account Public Network Access Is Disabled","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Development","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Development","ststagapp01","ERROR","Account 'ststagapp01': Access denied or query error."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.2.3","1","Ensure That Storage Account Default Network Rule Is Set to 'Deny'","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Production","stdevdata01","INFO","Account 'stdevdata01': ADLS Gen2 — control does not apply."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Staging","ststagapp01","ERROR","Account 'ststagapp01': Access denied or query error."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Staging","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Development","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.3.1","2","Ensure That 'Default to Microsoft Entra ID Authorization' Is Set to 'Enabled'","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Production","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Staging","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Staging","ststagapp01","ERROR","Account 'ststagapp01': Access denied or query error."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
